Sample	Unique Reads	Duplicate Reads
SRR8668755_10K_subsample	8702.0	1298.0
SRR8668756_10K_subsample	9319.0	681.0
SRR8668757_10K_subsample	9178.0	822.0
SRR8668758_10K_subsample	9218.0	782.0
SRR8668759_10K_subsample	7910.0	2090.0
SRR8668769_10K_subsample	8775.0	1225.0
SRR8668771_10K_subsample	8649.0	1351.0
SRR8668772_10K_subsample	8843.0	1157.0
SRR8668773_10K_subsample	9116.0	884.0
SRR8668774_10K_subsample	9118.0	882.0
